state_code,percent_hs_grad,per_capita_income
Alabama,85.8,26846
Alaska,92.7,35874
Arizona,86.8,29265
Arkansas,86.2,25635
California,82.9,35021
Colorado,91.4,36415
Connecticut,90.5,43056
Delaware,89.8,33989
District of Columbia,90.6,53321
Florida,88,30197
Georgia,86.7,29523
Hawaii,91.8,34035
Idaho,90.6,26772
Illinois,88.9,34463
Indiana,88.6,28461
Iowa,92,31085
Kansas,90.7,30757
Kentucky,85.7,26948
Louisiana,84.8,27027
Maine,92.3,31253
Maryland,90,40517
Massachusetts,90.4,41794
Michigan,90.5,30336
Minnesota,93,36245
Mississippi,83.9,23434
Missouri,89.6,29537
Montana,93.2,29765
Nebraska,91.1,31101
Nevada,86.3,29961
New Hampshire,92.9,38548
New Jersey,89.5,40895
New Mexico,85.3,26085
New York,86.5,37470
North Carolina,87.4,29456
North Dakota,92.5,35373
Ohio,90.1,30304
Oklahoma,87.8,27432
Oregon,90.4,32045
Pennsylvania,90.2,32889
Rhode Island,88,34619
South Carolina,87.1,27986
South Dakota,91.7,29801
Tennessee,87,28511
Texas,83.2,30143
Utah,92,28239
Vermont,92.6,33238
Virginia,89.3,37763
Washington,91.1,36888
West Virginia,86.5,25479
Wisconsin,91.9,32018
Wyoming,92.9,32295
