State,Household Size,Median Income
Alabama,2.55,48486
Alaska,2.81,76715
Arizona,2.69,56213
Arkansas,2.52,45726
California,2.96,71228
Colorado,2.56,68811
Connecticut,2.54,76106
Delaware,2.58,65627
District of Columbia,2.29,82604
Florida,2.65,53267
Georgia,2.71,55679
Hawaii,3.02,78084
Idaho,2.68,53089
Illinois,2.59,63575
Indiana,2.53,54325
Iowa,2.41,58580
Kansas,2.52,57422
Kentucky,2.49,48392
Louisiana,2.61,47942
Maine,2.33,55425
Maryland,2.67,81868
Massachusetts,2.53,77378
Michigan,2.49,54938
Minnesota,2.49,68411
Mississippi,2.62,43567
Missouri,2.47,53560
Montana,2.39,52559
Nebraska,2.46,59116
Nevada,2.68,57598
New Hampshire,2.46,74057
New Jersey,2.71,79363
New Mexico,2.64,48059
New York,2.6,65323
North Carolina,2.52,52413
North Dakota,2.31,63473
Ohio,2.43,54533
Oklahoma,2.58,51424
Oregon,2.51,59393
Pennsylvania,2.46,59445
Rhode Island,2.47,63296
South Carolina,2.54,51015
South Dakota,2.43,56499
Tennessee,2.53,50972
Texas,2.86,59570
Utah,3.13,68374
Vermont,2.31,60076
Virginia,2.61,71564
Washington,2.55,70116
West Virginia,2.42,44921
Wisconsin,2.4,59209
Wyoming,2.46,62268
