NRCPTOT,NAME,state_code,county
46433,"Choctaw County, Oklahoma",Oklahoma,23
30557,"Love County, Oklahoma",Oklahoma,85
112894,"Beckham County, Oklahoma",Oklahoma,9
30276,"Hughes County, Oklahoma",Oklahoma,63
59515,"Jackson County, Oklahoma",Oklahoma,65
218644,"Comanche County, Oklahoma",Oklahoma,31
111387,"Lincoln County, Oklahoma",Oklahoma,81
41008,"Pawnee County, Oklahoma",Oklahoma,117
52498,"Adair County, Oklahoma",Oklahoma,1
69271,"Seminole County, Oklahoma",Oklahoma,133
153237,"Stephens County, Oklahoma",Oklahoma,137
11774,"Cimarron County, Oklahoma",Oklahoma,25
30523,"Blaine County, Oklahoma",Oklahoma,11
166377,"Carter County, Oklahoma",Oklahoma,19
28595,"Coal County, Oklahoma",Oklahoma,29
13691,"Grant County, Oklahoma",Oklahoma,53
11489,"Greer County, Oklahoma",Oklahoma,55
96315,"Kingfisher County, Oklahoma",Oklahoma,73
185802,"McClain County, Oklahoma",Oklahoma,87
62828,"McIntosh County, Oklahoma",Oklahoma,91
47663,"Marshall County, Oklahoma",Oklahoma,95
35710,"Murray County, Oklahoma",Oklahoma,99
30705,"Noble County, Oklahoma",Oklahoma,103
26064,"Nowata County, Oklahoma",Oklahoma,105
68239,"Ottawa County, Oklahoma",Oklahoma,115
329023,"Rogers County, Oklahoma",Oklahoma,131
126969,"Sequoyah County, Oklahoma",Oklahoma,135
249359,"Wagoner County, Oklahoma",Oklahoma,145
11455,"Alfalfa County, Oklahoma",Oklahoma,3
28440,"Woods County, Oklahoma",Oklahoma,151
71306,"Caddo County, Oklahoma",Oklahoma,15
1034491,"Cleveland County, Oklahoma",Oklahoma,27
183573,"Muskogee County, Oklahoma",Oklahoma,101
31399,"Okfuskee County, Oklahoma",Oklahoma,107
44063,"Atoka County, Oklahoma",Oklahoma,5
149821,"Bryan County, Oklahoma",Oklahoma,13
70327,"Union County, Oregon",Oregon,61
883055,"Marion County, Oregon",Oregon,47
847114,"Jackson County, Oregon",Oregon,29
281405,"Douglas County, Oregon",Oregon,19
19531,"Grant County, Oregon",Oregon,23
55512,"Jefferson County, Oregon",Oregon,31
200788,"Polk County, Oregon",Oregon,53
1853777,"Clackamas County, Oregon",Oregon,5
1007902,"Deschutes County, Oregon",Oregon,17
287173,"Linn County, Oregon",Oregon,43
105339,"Tillamook County, Oregon",Oregon,57
309961,"Yamhill County, Oregon",Oregon,71
42392,"Baker County, Oregon",Oregon,1
281015,"Josephine County, Oregon",Oregon,33
153793,"Klamath County, Oregon",Oregon,35
167890,"Umatilla County, Oregon",Oregon,59
192532,"Lincoln County, Oregon",Oregon,41
344698,"Benton County, Oregon",Oregon,3
114685,"Columbia County, Oregon",Oregon,9
77153,"Crook County, Oregon",Oregon,13
5813,"Sherman County, Oregon",Oregon,55
64856,"Wasco County, Oregon",Oregon,65
19725,"Harney County, Oregon",Oregon,25
1159316,"Lane County, Oregon",Oregon,39
60093,"Malheur County, Oregon",Oregon,45
45281,"Wallowa County, Oregon",Oregon,63
1991151,"Washington County, Oregon",Oregon,67
7814,"Wheeler County, Oregon",Oregon,69
25931,"Morrow County, Oregon",Oregon,49
149632,"Clatsop County, Oregon",Oregon,7
171544,"Coos County, Oregon",Oregon,11
90289,"Curry County, Oregon",Oregon,15
3111,"Gilliam County, Oregon",Oregon,21
104933,"Hood River County, Oregon",Oregon,27
20095,"Lake County, Oregon",Oregon,37
3678750,"Multnomah County, Oregon",Oregon,51
194794,"Pike County, Pennsylvania",Pennsylvania,103
148760,"Snyder County, Pennsylvania",Pennsylvania,109
162452,"Susquehanna County, Pennsylvania",Pennsylvania,115
241362,"Crawford County, Pennsylvania",Pennsylvania,39
618897,"Erie County, Pennsylvania",Pennsylvania,49
40092,"Fulton County, Pennsylvania",Pennsylvania,57
86304,"Juniata County, Pennsylvania",Pennsylvania,67
325253,"Schuylkill County, Pennsylvania",Pennsylvania,107
79870,"Wyoming County, Pennsylvania",Pennsylvania,131
302163,"Adams County, Pennsylvania",Pennsylvania,1
157416,"Armstrong County, Pennsylvania",Pennsylvania,5
87461,"Clinton County, Pennsylvania",Pennsylvania,35
153331,"Carbon County, Pennsylvania",Pennsylvania,25
470994,"Centre County, Pennsylvania",Pennsylvania,27
218951,"Northumberland County, Pennsylvania",Pennsylvania,97
191643,"Rice County, Minnesota",Minnesota,131
72958,"Meeker County, Minnesota",Minnesota,93
119185,"Morrison County, Minnesota",Minnesota,97
32792,"Pennington County, Minnesota",Minnesota,113
103414,"Steele County, Minnesota",Minnesota,147
43372,"Wilkin County, Minnesota",Minnesota,167
10049,"Red Lake County, Minnesota",Minnesota,125
50237,"Aitkin County, Minnesota",Minnesota,1
168691,"Clay County, Minnesota",Minnesota,27
54509,"Faribault County, Minnesota",Minnesota,43
38447,"Murray County, Minnesota",Minnesota,101
74883,"Fillmore County, Minnesota",Minnesota,45
154216,"Kandiyohi County, Minnesota",Minnesota,67
32975,"Lake County, Minnesota",Minnesota,75
97615,"Polk County, Minnesota",Minnesota,119
35977,"Rock County, Minnesota",Minnesota,133
44407,"Roseau County, Minnesota",Minnesota,135
46051,"Sibley County, Minnesota",Minnesota,143
11188,"Traverse County, Minnesota",Minnesota,155
27570,"Watonwan County, Minnesota",Minnesota,165
155587,"Becker County, Minnesota",Minnesota,5
5836151,"Hennepin County, Minnesota",Minnesota,53
21694,"Big Stone County, Minnesota",Minnesota,11
74735,"Brown County, Minnesota",Minnesota,15
35695,"Chippewa County, Minnesota",Minnesota,23
131089,"Cass County, Minnesota",Minnesota,21
27640,"Clearwater County, Minnesota",Minnesota,29
154310,"Goodhue County, Minnesota",Minnesota,49
68036,"Hubbard County, Minnesota",Minnesota,57
125949,"Isanti County, Minnesota",Minnesota,59
34698,"Jackson County, Minnesota",Minnesota,63
74994,"Martin County, Minnesota",Minnesota,91
115693,"Mower County, Minnesota",Minnesota,99
68608,"Nobles County, Minnesota",Minnesota,105
75725,"Pine County, Minnesota",Minnesota,115
486591,"Olmsted County, Minnesota",Minnesota,109
312149,"Sherburne County, Minnesota",Minnesota,141
42948,"Wadena County, Minnesota",Minnesota,159
113321,"Benton County, Minnesota",Minnesota,9
440967,"Carver County, Minnesota",Minnesota,19
90360,"Freeborn County, Minnesota",Minnesota,47
113667,"Itasca County, Minnesota",Minnesota,61
118634,"McLeod County, Minnesota",Minnesota,85
